PC1,PC2,label
-2.256980633068027,-0.5040154042276556,Iris-setosa
-2.0794591188954032,0.6532163936125871,Iris-setosa
-2.3600440815842085,0.3174139445702801,Iris-setosa
-2.296503660003885,0.5734466129712305,Iris-setosa
-2.380801586452744,-0.6725144107910794,Iris-setosa
-2.0636234763372356,-1.513478266735673,Iris-setosa
-2.4375453357324144,-0.07431371713319834,Iris-setosa
-2.2263832674070723,-0.24678717174216522,Iris-setosa
-2.334138096440085,1.0914897701958326,Iris-setosa
-2.1813679694194783,0.44713111745010736,Iris-setosa
-2.1562628748102592,-1.067020956455562,Iris-setosa
-2.319606855130836,-0.15805794582009836,Iris-setosa
-2.2166567155972636,0.7067504781046791,Iris-setosa
-2.6309024924632047,0.9351491453748183,Iris-setosa
-2.1849716499715557,-1.883668048915336,Iris-setosa
-2.243947780527031,-2.713281331410139,Iris-setosa
-2.1953957000147133,-1.5086960103975113,Iris-setosa
-2.182866358187733,-0.5125870937164436,Iris-setosa
-1.8877501541896782,-1.426332360690068,Iris-setosa
-2.332136196957817,-1.154166862501165,Iris-setosa
-1.9081638682820667,-0.4290278799244608,Iris-setosa
-2.1972842905143724,-0.9492771504232268,Iris-setosa
-2.7649070974164887,-0.4878825744397033,Iris-setosa
-1.8143333775427348,-0.10639436181418628,Iris-setosa
-2.2207776873727276,-0.16164463807371954,Iris-setosa
-1.950489685235098,0.6058628704402028,Iris-setosa
-2.0452116617271154,-0.2651261148042817,Iris-setosa
-2.16095425532709,-0.5501733633154999,Iris-setosa
-2.1331596796833088,-0.3355163976642322,Iris-setosa
-2.2612149138261,0.3138272523166589,Iris-setosa
-2.1373939604413823,0.4823262588800828,Iris-setosa
-1.8258214303602183,-0.4437801307329561,Iris-setosa
-2.5994943195862907,-1.8223700832270742,Iris-setosa
-2.429810766723819,-2.178094795207961,Iris-setosa
-2.1813679694194783,0.44713111745010736,Iris-setosa
-2.2037371720388785,0.18372232364490976,Iris-setosa
-2.0375904017011295,-0.6826694201563298,Iris-setosa
-2.1813679694194783,0.44713111745010736,Iris-setosa
-2.4278187839226053,0.8792239327136455,Iris-setosa
-2.1632999455855058,-0.2917495667454687,Iris-setosa
-2.2788927359286686,-0.4664291346285998,Iris-setosa
